transaction_id,user_id,transaction_time,amount,merchant,location,payment_method,status,currency
STD-000001,USER-0031,2026-01-15 09:18:00,4964.92,QuickBite Cafe,Delhi,Debit Card,success,INR
STD-000002,USER-0052,2026-01-15 09:36:00,2577.94,HomeNeeds,Hyderabad,Net Banking,success,INR
STD-000003,USER-0041,2026-01-15 09:54:00,5379.5,BookNest,Ahmedabad,Net Banking,success,INR
STD-000004,USER-0034,2026-01-15 10:12:00,5523.03,StyleHub,Kolkata,Credit Card,success,INR
STD-000005,USER-0039,2026-01-15 10:30:00,2322.91,StyleHub,Pune,Credit Card,success,INR
STD-000006,USER-0016,2026-01-15 10:48:00,6310.23,CloudKart,Chennai,UPI,success,INR
STD-000007,USER-0068,2026-01-15 11:06:00,5711.3,GreenBasket,Bengaluru,Credit Card,success,INR
STD-000008,USER-0040,2026-01-15 11:24:00,4932.93,GreenBasket,Hyderabad,Debit Card,success,INR
STD-000009,USER-0002,2026-01-15 11:42:00,2145.34,HomeNeeds,Jaipur,Credit Card,success,INR
STD-000010,USER-0072,2026-01-15 12:00:00,3039.71,City Pharmacy,Hyderabad,Net Banking,success,INR
STD-000011,USER-0068,2026-01-15 12:18:00,568.36,HomeNeeds,Kolkata,Debit Card,success,INR
STD-000012,USER-0034,2026-01-15 12:36:00,573.45,MovieMax,Mumbai,Net Banking,success,INR
STD-000013,USER-0032,2026-01-15 12:54:00,3830.95,BookNest,Bhopal,Net Banking,success,INR
STD-000014,USER-0032,2026-01-15 13:12:00,2361.25,Metro Grocers,Ahmedabad,UPI,success,INR
STD-000015,USER-0062,2026-01-15 13:30:00,4801.93,StyleHub,Hyderabad,UPI,success,INR
STD-000016,USER-0025,2026-01-15 13:48:00,3005.35,QuickBite Cafe,Hyderabad,Wallet,success,INR
STD-000017,USER-0040,2026-01-15 14:06:00,732.37,BookNest,Kolkata,Net Banking,success,INR
STD-000018,USER-0054,2026-01-15 14:24:00,327.13,CloudKart,Chennai,Credit Card,success,INR
STD-000019,USER-0005,2026-01-15 14:42:00,2923.89,Metro Grocers,Ahmedabad,UPI,success,INR
STD-000020,USER-0036,2026-01-15 15:00:00,5987.77,BookNest,Pune,Wallet,success,INR
STD-000021,USER-0045,2026-01-15 15:18:00,1655.24,MovieMax,Pune,Credit Card,success,INR
STD-000022,USER-0017,2026-01-15 15:36:00,2957.51,Metro Grocers,Delhi,Wallet,success,INR
STD-000023,USER-0066,2026-01-15 15:54:00,3760.86,GreenBasket,Chennai,Wallet,success,INR
STD-000024,USER-0046,2026-01-15 16:12:00,2566.48,GreenBasket,Mumbai,UPI,success,INR
STD-000025,USER-0062,2026-01-15 16:30:00,1945.66,Metro Grocers,Mumbai,Wallet,success,INR
STD-000026,USER-0045,2026-01-15 16:48:00,260.48,GreenBasket,Jaipur,Wallet,success,INR
STD-000027,USER-0052,2026-01-15 17:06:00,1374.53,HomeNeeds,Pune,UPI,success,INR
STD-000028,USER-0030,2026-01-15 17:24:00,5490.38,Metro Grocers,Pune,Wallet,success,INR
STD-000029,USER-0034,2026-01-15 17:42:00,5134.67,StyleHub,Chennai,Debit Card,success,INR
STD-000030,USER-0061,2026-01-15 18:00:00,3308.8,GreenBasket,Mumbai,Debit Card,success,INR
STD-000031,USER-0076,2026-01-15 18:18:00,4461.39,HomeNeeds,Mumbai,Net Banking,success,INR
STD-000032,USER-0022,2026-01-15 18:36:00,2535.13,StyleHub,Kolkata,Credit Card,success,INR
STD-000033,USER-0073,2026-01-15 18:54:00,1325.2,RideSwift,Pune,UPI,success,INR
STD-000034,USER-0031,2026-01-15 19:12:00,1294.59,Metro Grocers,Hyderabad,Net Banking,success,INR
STD-000035,USER-0053,2026-01-15 19:30:00,3672.45,City Pharmacy,Hyderabad,Net Banking,success,INR
STD-000036,USER-0012,2026-01-15 19:48:00,4972.72,RideSwift,Kolkata,Net Banking,success,INR
STD-000037,USER-0070,2026-01-15 20:06:00,5768.44,StyleHub,Pune,Credit Card,success,INR
STD-000038,USER-0046,2026-01-15 20:24:00,1003.96,TechSquare,Kolkata,Debit Card,success,INR
STD-000039,USER-0024,2026-01-15 20:42:00,4522.45,MovieMax,Bhopal,Net Banking,success,INR
STD-000040,USER-0019,2026-01-15 21:00:00,867.66,Metro Grocers,Delhi,Credit Card,success,INR
STD-000041,USER-0015,2026-01-15 21:18:00,2432.15,City Pharmacy,Bhopal,Wallet,success,INR
