 Txn ID ,CUSTOMER!!!, Payment Date/Time ,Txn Amt ₹,Shop Name!!!,City/Region,Mode of Payment,txn_status,curr,raw_notes_ignored
MSY-000001,USER-0003,15/01/2026 09:17,"Rs. 5,168",Mega Store 🔥,Unknown??,Net Banking,success,INR,contains emoji 🚩
MSY-000002,USER-0003,01/15/2026 09:34 AM,INR 186.17,GreenBasket,Unknown??,Debit Card,settled,USD,legacy row
MSY-000003,USER-0041,15-Jan-2026 09:51,$120.48,GiftCard Vault!!!,Bengaluru,Credit Card,success,USD,contains emoji 🚩
MSY-000004,USER-0053,2026-01-15T10:08:00," 10,000.00 ",BookNest,Delhi,Net Banking,settled,INR,contains emoji 🚩
MSY-000005,USER-0049,2026-01-15 10:25:00,"₹10,000.00",StyleHub,Bengaluru,Debit Card,success,INR,manual import
MSY-000006,USER-0027,15/01/2026 10:42,"Rs. 3,814",RideSwift,Kolkata,Credit Card,settled,INR,legacy row
MSY-000007,USER-0055,01/15/2026 10:59 AM,"INR 3,519.11",HomeNeeds,Mumbai-West,Debit Card,success,INR,legacy row
MSY-000008,USER-0020,15-Jan-2026 11:16,$120.48,CloudKart,Mumbai-West,UPI,success,INR,legacy row
MSY-000009,USER-0014,2026-01-15T11:33:00," 5,000.00 ",UrbanFuel Station,Mumbai-West,Net Banking,paid,INR,manual import
MSY-000010,USER-0064,2026-01-15 11:50:00,"₹5,000.00",QuickBite Cafe,Mumbai-West,Net Banking,success,INR,manual import
MSY-000011,USER-0046,15/01/2026 12:07,"Rs. 10,000",TechSquare,Delhi,Wallet,paid,INR,manual import
MSY-000012,USER-0047,01/15/2026 12:24 PM,"INR 4,091.48",StyleHub,東京-IP,Credit Card,success,INR,legacy row
MSY-000013,USER-0079,15-Jan-2026 12:41,$72.13,RideSwift,Mumbai-West,Credit Card,success,INR,normal
MSY-000014,USER-0074,2026-01-15T12:58:00," 5,717.96 ",QuickBite Cafe,Delhi,Net Banking,paid,INR,contains emoji 🚩
MSY-000015,USER-0019,2026-01-15 13:15:00,"₹5,937.41",Vendor#42@@@,Delhi,UPI,paid,USD,manual import
MSY-000016,USER-0030,15/01/2026 13:32,"Rs. 10,000",BookNest,Mumbai-West,Debit Card,paid,INR,legacy row
MSY-000017,USER-0072,01/15/2026 01:49 PM,"INR 10,000.00",Vendor#42@@@,Chennai,Wallet,success,INR,manual import
MSY-000018,USER-0079,15-Jan-2026 14:06,$301.19,HomeNeeds,Chennai,Debit Card,paid,USD,manual import
MSY-000019,USER-0049,2026-01-15T14:23:00," 10,000.00 ",HomeNeeds,Unknown??,Debit Card,settled,USD,manual import
MSY-000020,USER-0067,2026-01-15 14:40:00,"₹10,000.00",UrbanFuel Station,Bhopal,UPI,paid,USD,contains emoji 🚩
MSY-000021,USER-0052,15/01/2026 14:57,"Rs. 3,347",RideSwift,Bengaluru,Credit Card,success,INR,manual import
MSY-000022,USER-0047,01/15/2026 03:14 PM,"INR 5,380.88",नमस्ते किराना,Bengaluru 😊,Net Banking,success,INR,legacy row
MSY-000023,USER-0052,15-Jan-2026 15:31,$54.37,GreenBasket,Jaipur,UPI,success,INR,contains emoji 🚩
MSY-000024,USER-0042,2026-01-15T15:48:00," 2,796.54 ",City Pharmacy,Ahmedabad,UPI,paid,INR,legacy row
MSY-000025,USER-0049,2026-01-15 16:05:00,"₹4,943.12",UrbanFuel Station,Delhi,Net Banking,settled,INR,manual import
MSY-000026,USER-0015,15/01/2026 16:22,"Rs. 10,000",Vendor#42@@@,Bengaluru,Wallet,settled,INR,legacy row
MSY-000027,USER-0026,01/15/2026 04:39 PM,"INR 24,999.00",GiftCard Vault!!!,Jaipur,Debit Card,settled,USD,normal
MSY-000028,USER-0080,15-Jan-2026 16:56,$33.42,HomeNeeds,Bengaluru 😊,Wallet,success,USD,contains emoji 🚩
MSY-000029,USER-0002,2026-01-15T17:13:00," 1,396.64 ",RideSwift,Mumbai-West,Wallet,paid,INR,legacy row
MSY-000030,USER-0018,2026-01-15 17:30:00,"₹10,000.00",BookNest,Jaipur,UPI,settled,INR,contains emoji 🚩
MSY-000031,USER-0045,15/01/2026 17:47,"Rs. 24,999",City Pharmacy,Kolkata,UPI,paid,INR,manual import
MSY-000032,USER-0052,01/15/2026 06:04 PM,"INR 5,000.00",HomeNeeds,Kolkata,Wallet,settled,INR,legacy row
MSY-000033,USER-0018,15-Jan-2026 18:21,$301.19,BookNest,Unknown??,Net Banking,paid,INR,legacy row
MSY-000034,USER-0018,2026-01-15T18:38:00," 2,386.89 ",UrbanFuel Station,Bengaluru,Wallet,paid,USD,manual import
MSY-000035,USER-0013,2026-01-15 18:55:00,"₹3,778.21",MovieMax,São Paulo,UPI,success,INR,manual import
MSY-000036,USER-0036,15/01/2026 19:12,"Rs. 10,000",GreenBasket,東京-IP,Wallet,success,INR,contains emoji 🚩
MSY-000037,USER-0024,01/15/2026 07:29 PM,"INR 5,000.00",Metro Grocers,Bengaluru,Wallet,success,USD,legacy row
MSY-000038,USER-0078,15-Jan-2026 19:46,$120.48,CloudKart,Mumbai,Credit Card,success,INR,legacy row
MSY-000039,USER-0077,2026-01-15T20:03:00," 24,999.00 ",Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,東京-IP,Net Banking,paid,INR,normal
MSY-000040,USER-0056,2026-01-15 20:20:00,"₹5,000.00",Mega Store 🔥,Bengaluru,Net Banking,success,USD,normal
MSY-000041,USER-0065,15/01/2026 20:37,"Rs. 10,000",CloudKart,Unknown??,Wallet,settled,INR,normal
MSY-000042,USER-0024,01/15/2026 08:54 PM,"INR 24,999.00",GiftCard Vault!!!,Kolkata,Net Banking,settled,USD,normal
MSY-000043,USER-0011,15-Jan-2026 21:11,$120.48,Payee_With_Spaces      ,Bhopal,Debit Card,success,INR,normal
MSY-000044,USER-0075,2026-01-15T21:28:00," 5,000.00 ",नमस्ते किराना,Kolkata,UPI,settled,INR,normal
MSY-000045,USER-0067,2026-01-15 21:45:00,"₹3,968.27",StyleHub,Unknown??,Wallet,success,INR,legacy row
MSY-000046,USER-0033,15/01/2026 22:02,"Rs. 3,120",UrbanFuel Station,Bengaluru,Net Banking,settled,USD,normal
MSY-000047,USER-0079,01/15/2026 10:19 PM,"INR 24,999.00",HomeNeeds,Kolkata,Net Banking,success,USD,normal
MSY-000048,USER-0047,15-Jan-2026 22:36,$60.24,GreenBasket,Kolkata,Wallet,success,USD,normal
MSY-000049,USER-0043,2026-01-15T22:53:00," 5,000.00 ",BookNest,Mumbai-West,Wallet,success,USD,manual import
MSY-000050,USER-0068,2026-01-15 23:10:00,"₹24,999.00",GiftCard Vault!!!,Ahmedabad,Wallet,success,USD,legacy row
MSY-000051,USER-0022,15/01/2026 23:27,"Rs. 24,999",StyleHub,Pune,Credit Card,paid,INR,normal
MSY-000052,USER-0001,01/15/2026 11:44 PM,"INR 5,000.00",StyleHub,Hyderabad,Debit Card,success,USD,manual import
MSY-000053,USER-0027,16-Jan-2026 00:01,$301.19,Vendor#42@@@,Pune,Wallet,paid,INR,legacy row
MSY-000054,USER-0079,2026-01-16T00:18:00," 10,000.00 ",MovieMax,Jaipur,Debit Card,success,INR,contains emoji 🚩
MSY-000055,USER-0010,2026-01-16 00:35:00,"₹24,999.00",Vendor#42@@@,Kolkata,Net Banking,settled,USD,manual import
MSY-000056,USER-0079,16/01/2026 00:52,"Rs. 10,000",नमस्ते किराना,Hyderabad,Wallet,paid,INR,normal
MSY-000057,USER-0032,01/16/2026 01:09 AM,"INR 5,000.00",TechSquare,Bengaluru 😊,Net Banking,success,USD,normal
MSY-000058,USER-0066,16-Jan-2026 01:26,$60.24,StyleHub,Mumbai,Debit Card,paid,INR,normal
MSY-000059,USER-0037,2026-01-16T01:43:00," 10,000.00 ",GiftCard Vault!!!,東京-IP,Wallet,settled,INR,manual import
MSY-000060,USER-0010,2026-01-16 02:00:00,"₹1,153.91",Payee_With_Spaces      ,Mumbai,Net Banking,success,USD,manual import
MSY-000061,USER-0058,16/01/2026 02:17,"Rs. 5,000",Mega Store 🔥,Mumbai,Credit Card,settled,INR,normal
MSY-000062,USER-0010,01/16/2026 02:34 AM,"INR 2,878.54",Metro Grocers,Mumbai-West,Wallet,success,USD,legacy row
MSY-000063,USER-0068,16-Jan-2026 02:51,$301.19,TechSquare,Hyderabad,Wallet,success,INR,legacy row
MSY-000064,USER-0007,2026-01-16T03:08:00," 3,366.35 ",MovieMax,São Paulo,UPI,settled,INR,contains emoji 🚩
MSY-000065,USER-0073,2026-01-16 03:25:00,"₹5,000.00",TechSquare,Mumbai,Wallet,paid,INR,contains emoji 🚩
MSY-000066,USER-0022,16/01/2026 03:42,"Rs. 24,999",StyleHub,Pune,UPI,settled,INR,legacy row
MSY-000067,USER-0040,01/16/2026 03:59 AM,"INR 10,000.00",City Pharmacy,Delhi,Debit Card,paid,INR,normal
